split,x,y,target
train,-0.6950377226,0.4777232409,0.5544037819
train,-0.4961693287,0.3680548668,0.4212776423
train,0.4620087147,-0.8436918259,5.4997453690
train,-0.8714685440,-0.0652643442,0.6779714227
train,-0.9626373053,0.3641089201,1.0155864954
train,-0.0109466314,0.5085879564,1.2514196634
train,0.5162998438,0.9138405323,6.2575807571
train,-0.9982161522,-0.5146455765,1.2959656715
train,0.3964114189,0.0747624636,2.5937423706
train,-0.9070526361,0.4589371681,0.9256609082
train,0.6258543730,0.0167129040,2.5171525478
train,-0.6091378927,0.1893277168,0.4041578472
train,0.4482359886,-0.9442939758,6.5436649323
train,0.2812533379,-0.2099105120,2.2638785839
train,-0.2018277645,0.3384273052,0.6200916767
train,-0.3256313801,-0.2753725052,0.4593950212
train,0.8240600824,-0.9235799313,3.9670143127
train,0.3936799765,-0.9747114182,6.6511940956
train,0.0134849548,0.0251353979,1.0439205170
train,0.8697196245,0.7424378395,2.5835642815
train,-0.1319876909,0.5925431252,0.9495532513
train,0.5452384949,-0.4733842611,3.3669607639
train,0.4181069136,-0.2513514757,2.8018071651
train,0.0669687986,-0.1446070671,1.2582869530
train,0.5352654457,-0.5856534243,3.8070666790
train,-0.5150870085,0.9549776316,0.9167736769
train,0.7732906342,-0.9307353497,4.5712671280
train,-0.3880264759,0.1402180195,0.3988772929
train,-0.3343476057,0.9149072170,0.9699031711
train,-0.8697123528,0.6434086561,1.0161262751
train,0.8746322393,-0.2547311783,1.5661783218
train,-0.1614246368,0.6055089235,0.8877813220
train,0.6896739006,0.8329706192,4.5790700912
train,0.1452656984,-0.8369688988,3.1305401325
train,-0.7781074047,0.8143444061,1.0213884115
train,0.0840083361,0.5159897804,1.6940332651
train,0.5804581642,-0.3376271725,2.9512133598
train,-0.1119328737,0.6658058167,1.1039034128
train,-0.2355405092,0.6103425026,0.7395232916
train,-0.2385982275,0.3085904121,0.5564921498
train,0.6636528969,0.3641451597,2.7273275852
train,0.2502871752,-0.3325085640,2.2666578293
train,-0.8404122591,0.6671035290,0.9650347829
train,-0.1914104223,-0.3769271374,0.6546407938
train,-0.2639381886,-0.0051968098,0.4783775508
train,-0.6899502277,0.9534702301,1.0853874683
train,0.1632376909,0.7436817884,2.8397173882
train,0.7202501297,0.4687415361,2.6905100346
train,-0.2019971609,0.1142868996,0.5600169897
train,0.5549240112,-0.5544223785,3.6420054436
train,0.0352724791,0.9318127632,2.6614208221
train,0.4664920568,-0.9524368048,6.6966018677
train,-0.6264300346,-0.4994798899,0.5103437304
train,0.0100671053,-0.2436016798,1.0952287912
train,-0.9890245199,-0.3839917183,1.1196050644
train,0.0492717028,-0.4858249426,1.4772763252
train,-0.1290102005,-0.1058427095,0.6817518473
train,0.0865536928,-0.4114660025,1.5494223833
train,0.4796699286,-0.4036657810,3.1928284168
train,0.4192163944,-0.6147050858,3.8413753510
train,-0.7558246851,0.8214701414,0.9809471965
train,0.9046888351,-0.6947213411,2.1762697697
train,0.6552313566,-0.5651496649,3.3294911385
train,-0.2400752306,-0.1749995947,0.5199126005
train,-0.6132503748,0.6513788700,0.5986499190
train,0.0908290148,-0.9580579996,3.3180136681
train,0.1068465710,-0.3624671698,1.5853145123
train,-0.8855857849,-0.3161324263,0.7773900628
train,0.7891060114,-0.7476078272,3.2350399494
train,0.0593992472,-0.5008780956,1.5471367836
train,-0.8895194530,0.4235411882,0.8514871597
train,-0.2177097797,-0.0068839788,0.5316252708
train,-0.8714647293,0.1772260666,0.6966226101
train,0.0723971128,-0.8720766306,2.6805019379
train,-0.0473543406,-0.3109866381,0.9497967958
train,-0.5751787424,0.5748850107,0.5263726115
train,-0.9238399267,-0.3264521360,0.8777297139
train,-0.0776505470,-0.0714956522,0.7894471288
train,-0.1476141214,0.5766125917,0.8915290236
train,-0.3523542881,-0.4109343290,0.4840955734
train,0.2435768843,-0.1141810417,2.0253298283
train,-0.0161399841,-0.8891181946,2.0956161022
train,0.6179054976,-0.3241229057,2.8214030266
train,-0.8110730648,0.6279747486,0.8479449749
train,0.7773156166,-0.4385293722,2.3075976372
train,0.7704845667,0.5241070986,2.5468504429
train,0.5370678902,-0.6621936560,4.1859240532
train,0.0588722229,-0.8237076998,2.3688254356
train,-0.9764761925,0.5659356117,1.2794730663
train,-0.3594778776,0.8998570442,0.9099325538
train,0.7448809147,0.2648050785,2.2001121044
train,-0.7332211733,0.8571341038,0.9913360476
train,0.5506362915,0.2921024561,2.9232544899
train,-0.4286024570,-0.1604148149,0.3870441020
train,-0.9703317881,0.6378182173,1.3685359955
train,0.6224862337,-0.0843987465,2.5446572304
train,0.5308015347,-0.1937355995,2.8090751171
train,0.2121882439,-0.3100602627,2.0430870056
train,0.1865804195,0.4434971809,2.1166944504
train,-0.8632926941,-0.7179902792,1.1041913033
train,0.0192855597,-0.5722959042,1.4741373062
train,-0.4292846918,-0.2133262157,0.3945868313
train,0.6671276093,-0.9158905745,5.4967441559
train,0.3325419426,0.2473050356,2.5242385864
train,0.2273545265,-0.1842168570,1.9917044640
train,0.0213092566,-0.1020023823,1.0803656578
train,-0.6737037897,0.0267243385,0.4256888926
train,-0.4537961483,-0.0572500229,0.3729890585
train,0.8180648088,0.3999685049,2.0156159401
train,0.9740072489,-0.9531251192,2.6912755966
train,0.7322148085,0.9666879177,5.3654336929
train,0.5131727457,0.6548210382,4.1700768471
train,-0.8947432041,0.0582486391,0.7252147198
train,-0.4180480242,-0.8586206436,0.7946841717
train,0.1494574547,0.0050936937,1.5722333193
train,-0.9931343794,0.9795635939,2.5548093319
train,-0.4651843309,0.4156838655,0.4398896992
train,0.9108181000,0.7374858856,2.2714252472
train,-0.1212536097,0.7090541124,1.1399384737
train,-0.2674840689,-0.5790927410,0.6639740467
train,-0.1026571989,-0.2349153757,0.7696955800
train,0.4653593302,0.1269614697,2.7461593151
train,0.9564203024,0.1581815481,1.1752768755
train,0.3540912867,-0.7748551369,4.4690170288
train,-0.1959971189,0.4459404945,0.6847493649
train,0.5051767826,-0.8922003508,6.0248293877
train,0.5733963251,0.8123745918,5.1216988564
train,-0.1223499775,-0.9227875471,1.6105216742
train,-0.3319872618,-0.5845863819,0.5932365060
train,0.2915140390,-0.7060153484,3.6383092403
train,-0.7377430201,-0.2130720615,0.5023770928
train,-0.8162437677,0.7461271286,1.0110132694
train,-0.5574636459,0.5630061626,0.5133624077
train,-0.0189777613,0.0975077152,0.9511558414
train,-0.5592840910,0.4849221706,0.4735220969
train,0.5152451992,0.7262289524,4.6009454727
train,-0.8777962923,0.0941017866,0.6937126517
train,0.7382359505,0.0083571672,2.0809423923
train,-0.2696487904,-0.5537446737,0.6422691941
train,0.3502917290,0.0886722803,2.4578452110
train,0.4282252789,-0.2150806189,2.7758169174
train,-0.7416386604,0.7835136652,0.8944545984
train,-0.1463506222,-0.0461462736,0.6429963708
train,-0.0907287598,-0.0887717009,0.7608579993
train,-0.4618923664,0.3314635754,0.4135511220
train,-0.1199352741,-0.8267604113,1.3710780144
train,0.7045435905,0.6200324297,3.2706379890
train,-0.4258995056,-0.7845644951,0.6994336843
train,-0.0582756996,0.6797935963,1.3232116699
train,0.7641447783,-0.7443038225,3.4177601337
train,0.4523096085,-0.7190564871,4.5079369545
train,-0.4489421844,-0.7013232708,0.6093828082
train,-0.1677902937,0.5219869614,0.7940700650
train,-0.1558277607,-0.5728373528,0.8675485253
train,0.1141561270,-0.4791358709,1.7870476246
train,-0.0817764997,0.9359942675,1.8626376390
train,0.5435906649,-0.7888075113,5.0171151161
train,-0.7085185051,0.0398198366,0.4532037675
train,-0.2733689547,0.2180809975,0.4918856919
train,-0.2544848919,0.9769164324,1.2679058313
train,-0.0278071165,-0.3837020397,1.0618150234
train,-0.0075124502,-0.9645460844,2.4762623310
train,-0.8889136314,-0.3948000669,0.8302072883
train,0.1504356861,0.4867926836,1.9980602264
train,-0.0270615816,-0.7605853081,1.6381636858
train,0.6247642040,0.9895083904,6.7079243660
train,-0.2499623299,0.1573820114,0.5054762959
train,0.9252240658,0.6290071011,1.8746287823
train,0.1716448069,-0.5182664394,2.1860198975
train,0.6373962164,0.8042972088,4.7359089851
train,-0.9806257486,0.3507767916,1.0641920567
train,-0.9755618572,-0.7351757288,1.5900799036
train,0.0140849352,-0.1748054028,1.0776596069
train,0.1718701124,0.3898389339,1.9465605021
train,-0.3524894714,-0.5454206467,0.5504351258
train,0.9620026350,0.7233520746,1.9008990526
train,-0.4423904419,-0.4668093920,0.4649823904
train,0.1213235855,-0.8085703850,2.7892522812
train,0.8675594330,-0.3386141062,1.6800645590
train,-0.2944381237,-0.2468107939,0.4782087207
train,0.9354928732,0.4418914318,1.4866700172
train,-0.3507491350,0.5881854296,0.5791982412
train,0.5915304422,-0.0781915188,2.6249320507
train,-0.7194067240,0.6948454380,0.7490947843
train,-0.4004077911,-0.7848880291,0.7150502801
train,-0.0033458471,0.8917313814,2.1916918755
train,0.9185087681,0.3538686037,1.4600163698
train,-0.4945747852,0.8931579590,0.8169939518
train,0.5219339132,-0.9392080307,6.5517916679
train,-0.2386653423,-0.8166074753,0.9854697585
train,-0.0707693100,-0.4853919744,1.0152187347
train,-0.1731384993,0.6064963341,0.8609958887
train,0.7035479546,0.4398032427,2.7070031166
train,0.5666160583,0.9068408012,6.0529208183
train,0.6336288452,-0.2584948540,2.6644215584
train,-0.8374130726,-0.5945632458,0.8734066486
train,0.9863337278,0.8853963614,2.2861001492
train,0.9076215029,-0.5633983612,1.8286473751
train,0.7303951979,0.6538830996,3.2441470623
train,-0.5419567823,0.5840746164,0.5219506025
train,0.2494145632,0.6872655153,3.2483234406
train,0.7444511652,-0.7431470156,3.5665280819
train,0.5070130825,-0.6426202059,4.1071038246
train,0.3310685158,-0.8067343235,4.5415401459
train,0.3239668608,0.7344782352,4.0164484978
train,-0.4329876900,0.5522643328,0.5102138519
train,0.7663654089,0.8499792814,4.0240883827
train,-0.7498306036,0.3073762655,0.5417217612
train,0.7944246531,0.1581010818,1.8717250824
train,0.4403939247,-0.2786501646,2.8868453503
train,-0.2757965326,-0.4126695395,0.5533676744
train,-0.6179232597,0.0706202984,0.3956713974
train,-0.2488305569,-0.3701156378,0.5669304729
train,-0.3867424726,0.6866177320,0.6275568008
train,0.4322663546,0.0805296898,2.6749486923
train,0.0717303753,-0.9477533102,3.0700123310
train,0.5701628923,0.5726901293,3.6831891537
train,-0.4453816414,0.3538951874,0.4231311977
train,-0.9059051275,-0.2503657341,0.7956162691
train,-0.6621894836,-0.1549836397,0.4278629720
train,-0.8705736399,-0.7618268728,1.2030823231
train,0.1289949417,0.6326097250,2.2132081985
train,0.0897908211,-0.0058912039,1.3210074902
train,-0.6962618828,0.6352617741,0.6621214747
train,0.7498211861,0.5693895817,2.8058550358
train,-0.3808914423,-0.6672650576,0.6153517962
train,0.1075723171,0.1101020575,1.4101198912
train,0.1711156368,-0.3522393703,1.8891512156
train,-0.2275503874,-0.8971641064,1.1611185074
train,0.7665060759,-0.9736862183,5.0408282280
train,-0.2920855284,-0.7759176493,0.8252197504
train,0.4126729965,-0.1903374195,2.7151060104
train,-0.6452370882,0.8486328125,0.8373426199
train,0.9973100424,0.9948782921,2.7134838104
train,0.2988296747,-0.9756431580,5.8050599098
train,-0.2307045460,0.6021817923,0.7405607104
train,-0.5157905817,-0.5999746323,0.5279254317
train,-0.3577921391,0.3561668396,0.4607050717
train,-0.6794235706,-0.1932206154,0.4457653165
train,-0.8254876137,-0.2656817436,0.6372424960
train,-0.1919949055,-0.3203026056,0.6283473969
train,0.4382945299,0.8025641441,5.0803408623
train,0.9738647938,-0.9676970243,2.7689032555
train,-0.9410276413,0.9935507774,2.2320804596
train,0.2905746698,0.3397202492,2.4760637283
train,0.3031413555,0.8686741590,4.8036360741
train,-0.2429118156,-0.9557027817,1.2487974167
train,-0.7368979454,0.3728812933,0.5507002473
train,-0.8491271734,0.5062335730,0.8186002374
train,-0.3253833055,0.0707744360,0.4281593859
train,0.5540641546,0.4049158096,3.1568267345
train,0.5388730764,-0.9080802202,6.1543669701
train,-0.0183541775,0.9022545815,2.1306645870
train,0.8511635065,0.2100732327,1.6402708292
train,0.6347876787,-0.6881350279,3.9956545830
train,0.0725814104,0.8499206305,2.5816159248
train,-0.2253686190,0.7951272726,0.9820619822
train,0.8457567692,-0.9261156321,3.7566113472
train,-0.1018424034,-0.4465770721,0.8912898898
train,0.4404097795,-0.1105982065,2.7040741444
train,0.4397767782,-0.2783436775,2.8853056431
train,-0.5676891804,-0.7129204273,0.6254904866
train,0.8479900360,0.6626274586,2.4563653469
train,-0.3458597660,0.1144486666,0.4181446731
train,0.0534607172,0.5693260431,1.6344321966
train,0.8420768976,-0.2978359461,1.7589761019
train,-0.1074351072,0.2640200853,0.7699429393
train,-0.8720427752,-0.5203390121,0.8864795566
train,0.2728481293,-0.0049076080,2.1297874451
train,0.0033324957,0.0490188599,1.0129551888
train,0.9160974026,-0.8738638163,2.7848217487
train,-0.3349746466,0.7887995243,0.7816193700
train,-0.2521429062,-0.0214411020,0.4909605980
train,-0.1373540163,-0.1951709986,0.6837577820
train,0.0431793928,-0.4051301479,1.3490043879
train,-0.1628546715,-0.7921122313,1.1478018761
train,0.2274569273,-0.6242400408,2.8433234692
train,-0.4005737305,-0.8493543863,0.7943674922
train,-0.7493624687,-0.0473216772,0.4934754670
train,0.6583069563,-0.4986072779,3.0878214836
train,-0.7727338076,0.0619894266,0.5215227008
train,-0.2481241226,-0.4576455355,0.6104933023
train,0.6661728621,0.7623095512,4.2542386055
train,-0.6908708811,-0.2341128588,0.4626748562
train,-0.2549879551,0.7867205143,0.9055880308
train,0.0910212994,0.4792231321,1.6681673527
train,0.6269242764,0.1718622446,2.5885188580
train,0.6048727036,-0.3532395363,2.9182758331
train,0.5703226328,-0.4397321939,3.2189638615
train,0.6378794909,-0.2082054615,2.5882782936
train,0.8207668066,0.0882292986,1.7187128067
train,0.9032539129,-0.1449342966,1.3775198460
train,-0.0618765354,0.5268046856,1.0880142450
train,-0.0186643600,-0.6068582535,1.3629816771
train,0.3868367672,-0.5990986824,3.6560649872
train,0.2366373539,0.1108771563,1.9919259548
train,-0.6042721272,0.6496270895,0.5916688442
train,0.2269316912,-0.0610305071,1.9304928780
train,-0.1891722679,-0.3073873520,0.6278564334
train,0.9495787621,0.8932180405,2.6001775265
train,-0.9744762182,-0.0041632652,0.9230405688
train,-0.3147405386,0.0432246923,0.4345296025
train,0.2021733522,-0.5753194094,2.5200729370
train,0.5488595963,0.2455070019,2.8534140587
train,-0.1715251207,-0.5047543049,0.7722995877
train,-0.9741727114,-0.4434839487,1.1225785017
train,-0.1752719879,-0.7946742773,1.1143600941
train,-0.0689438581,0.6484566927,1.2282520533
train,-0.0278908014,0.3013097048,1.0032835007
train,-0.4933733940,0.1343625784,0.3746623695
train,-0.2559934855,-0.3273465633,0.5416479707
train,0.3275848627,0.9114468098,5.4064369202
train,-0.2227588892,0.3842948675,0.6087207198
train,-0.9900153875,0.1967335939,1.0073688030
train,-0.7169975042,-0.5221729279,0.6042140126
train,-0.3157560825,-0.8657758236,0.9161809683
train,0.2894499302,-0.4609082937,2.7224469185
train,-0.3408782482,-0.9613765478,1.0477157831
train,0.8190063238,0.3263466358,1.9059147835
train,0.7845469713,0.3640384674,2.1358754635
train,0.4322950840,-0.6642098427,4.1314935684
train,-0.8268101215,-0.5812073946,0.8354043365
train,0.5300098658,0.2149008512,2.8341479301
train,0.6851633787,0.7116611004,3.8266391754
train,0.8484762907,-0.5460042953,2.1305305958
train,0.1142381430,0.8530766964,2.9416620731
train,0.6002818346,-0.0164973736,2.5884382725
train,0.1847125292,0.8683322668,3.6776309013
train,-0.8587492704,-0.3165285587,0.7195416093
train,0.2015141249,-0.9604157209,4.5449886322
train,-0.5578535795,-0.8859481812,0.8198578954
train,0.9326560497,0.1877521276,1.2779320478
train,-0.6151802540,-0.2123359442,0.4105912149
train,0.9044187069,-0.9477146864,3.3000850677
train,-0.4788578749,-0.0686665773,0.3704340458
train,0.5501103401,-0.1441978216,2.7412855625
train,0.7609837055,0.4587460756,2.4418087006
train,0.5411591530,-0.0750747919,2.7109196186
train,0.0631510019,-0.7879575491,2.2659020424
train,-0.5752396584,0.1038264036,0.3823518753
train,0.5198866129,-0.9384181499,6.5448441505
train,0.0247124434,0.9221715927,2.5293412209
train,-0.2765063047,-0.7639901638,0.8354458213
train,0.7233219147,0.8330818415,4.2966880798
train,-0.8449033499,-0.9810160398,1.6391770840
train,0.5427765846,-0.8768532276,5.8115963936
train,0.3212139606,-0.0267871618,2.3328318596
train,0.4389089346,0.1166706085,2.7054040432
train,0.8238402605,0.5759110451,2.3567302227
train,-0.1185462475,-0.3035428524,0.7620553374
train,0.1234548092,0.7598826885,2.6002714634
train,-0.2077044249,-0.5933854580,0.7748494744
train,-0.2530242205,0.1732167006,0.5047010779
train,0.8031060696,-0.9174771309,4.1438579559
train,-0.9962180853,0.4392148256,1.1984494925
train,-0.3616600037,0.8863272667,0.8856272697
train,-0.5151284933,-0.0346714258,0.3687380850
train,0.9836355448,0.2871649265,1.1432229280
train,0.2234050035,-0.0006412268,1.9071882963
train,-0.3429265022,0.1607571840,0.4253444672
train,-0.6662336588,-0.6538937092,0.6445984244
train,0.0924513340,0.4257775545,1.5962618589
train,0.6414626837,-0.1593908072,2.5301191807
train,-0.8841629028,0.9877581596,1.8584308624
train,0.6831796169,-0.8752127886,4.9775156975
train,0.7447423935,-0.7866988182,3.8098287582
train,0.5397717953,0.6870123148,4.3240404129
train,-0.4418296814,0.2809329033,0.4047746360
train,0.7387107611,0.4995050430,2.6677634716
train,0.4027708769,0.9478424788,6.3732900620
train,0.4287691116,-0.7213037014,4.4608750343
train,0.4321961403,-0.1750277281,2.7402064800
train,0.7078351974,-0.8613667488,4.6471667290
train,-0.0970771313,0.8927122355,1.6432304382
train,-0.3660085201,-0.7793800831,0.7369250059
train,0.0720131397,-0.6075428724,1.8101674318
train,0.7807621956,0.5931454897,2.6842429638
train,0.1409791708,-0.5015417337,1.9740846157
train,0.9401540756,-0.7880769968,2.2433516979
train,-0.0960928202,-0.0040684938,0.7428185344
train,-0.2892135382,0.4408024549,0.5519313812
train,-0.1117022038,-0.0882437229,0.7146391273
train,0.2254005671,-0.5078374147,2.4801108837
train,-0.4993231297,0.4051117897,0.4334918857
train,-0.3407144547,-0.2015467882,0.4331094921
train,0.5116603374,0.8244634867,5.3605632782
train,-0.3609259129,0.5437167883,0.5431151986
train,0.5640736818,-0.6452684402,4.0397391319
train,0.0439125299,0.0446944237,1.1497168541
train,-0.6584116220,0.3336280584,0.4642221630
train,0.3594896793,0.8226394653,4.8592252731
train,0.9525442123,-0.3557908535,1.3166913986
train,0.8709255457,-0.6341081858,2.2179224491
train,0.1427952051,-0.2356154919,1.6310485601
train,-0.7942140102,-0.2846319675,0.5937020779
train,0.9091274738,-0.4989961386,1.6999851465
train,0.7589608431,0.5761837959,2.7701764107
train,0.3083606958,0.2606534958,2.4402856827
train,0.4670854807,0.8060001135,5.1773571968
train,-0.7710168362,-0.0415945053,0.5183098316
train,-0.7308430672,0.5373347998,0.6315184236
train,-0.0617020130,-0.1322851181,0.8393465877
train,-0.9340133667,-0.3141444921,0.8984047771
train,0.0567506552,-0.0010814667,1.1940436363
train,-0.2923253775,0.4022771120,0.5311108828
train,0.1892292500,-0.7611117363,3.1247992516
train,-0.8943356276,0.0557334423,0.7241294384
train,-0.8995900154,0.8158705235,1.4267555475
train,0.8011925220,-0.6005862951,2.5739817619
train,0.3589246273,-0.7822160721,4.5505380630
train,-0.0355128050,-0.2201279402,0.9390569329
train,-0.8309251070,0.3417594433,0.6772342920
train,0.8303048611,0.0999296904,1.6790071726
train,0.9072549343,-0.3138086796,1.4706991911
train,0.7668937445,0.3351850510,2.1835439205
train,-0.1966807842,0.1869508028,0.5802090764
train,-0.4797586203,-0.7934495211,0.6918288469
train,-0.4385048151,0.0612756014,0.3761972785
train,-0.3920106888,0.2789102793,0.4209628105
train,-0.4344985485,-0.1398191452,0.3831407726
train,0.6675614119,0.5046726465,3.0627431870
train,-0.5194575787,0.5191938877,0.4825986028
train,0.6319199800,0.5099602938,3.2394447327
train,0.1405513287,0.4691982269,1.9107441902
train,0.4448200464,0.9046216011,6.0699615479
train,0.4184105396,-0.3858082294,3.0531606674
train,0.3015977144,-0.4944189787,2.8760194778
train,0.6841459274,-0.8168386221,4.5019145012
train,0.3456567526,0.9469642639,5.9385828972
train,-0.7160023451,0.7826160192,0.8470718265
train,0.2654807568,-0.1785889864,2.1652605534
train,-0.8159068823,0.0336521864,0.5795480609
train,-0.0783616304,-0.0646475554,0.7870039940
train,0.0439424515,0.0375281572,1.1491465569
train,-0.1504149437,-0.9912211895,1.6944663525
train,0.5986894369,-0.6587300301,3.9998064041
train,-0.5334392786,-0.5040733814,0.4769244790
train,0.8183542490,0.4370551109,2.0775766373
train,0.4400177002,0.2913869619,2.9072394371
train,0.0899872780,0.6189388037,1.9387394190
train,-0.4244272709,0.1604703665,0.3882143795
train,-0.6401454210,-0.4975007772,0.5183392167
train,0.7086721659,-0.2798930407,2.3894062042
train,0.6012375355,0.6708135605,4.0545458794
train,-0.0745438337,-0.6879553795,1.2728149891
train,0.7265920639,-0.6497575045,3.2522041798
train,0.9327665567,0.2906734943,1.3419771194
train,0.9728710651,-0.5269277096,1.4373160601
train,-0.4999727011,0.0434057713,0.3685731888
train,-0.4767493010,0.4332338572,0.4450173974
train,-0.3589713573,-0.2863492966,0.4397932589
train,0.0969127417,0.2353854179,1.4264440536
train,0.2271527052,0.8943842649,4.2823376656
train,0.5093536377,-0.8989329338,6.0960965157
train,-0.0383586884,0.0557162762,0.8894858956
train,0.4091924429,0.3744318485,3.0035111904
train,0.2094329596,0.2940012217,2.0095989704
train,-0.7780189514,0.0274477005,0.5265265107
train,0.9146323204,-0.1529103518,1.3342487812
train,-0.6509892941,0.3842153549,0.4761750102
train,-0.3170076609,0.7755657434,0.7883987427
train,0.0727868080,0.6865713596,2.0098481178
train,0.8360310793,0.5584527254,2.2356047630
train,0.9138195515,-0.1147191525,1.3239353895
train,-0.9394277334,0.2844123840,0.8973974586
train,0.7618253231,0.1953809261,2.0514140129
train,0.3942584991,-0.2533417940,2.7442567348
train,0.1930929422,-0.5866162777,2.4948084354
train,0.1460342407,0.9883152246,4.1355557442
train,-0.1752481461,-0.0243527889,0.5929945707
train,-0.0649173260,-0.9662452936,2.0773582458
train,-0.3234888315,-0.3637034893,0.4877902269
train,-0.5018525124,0.6207823753,0.5408505201
train,-0.0244408846,0.3165469170,1.0237722397
train,0.2555704117,0.8555845022,4.2690749168
train,0.5310772657,-0.6372978687,4.0608258247
train,0.5757751465,0.0985542536,2.6684865952
train,-0.3140053749,0.3937699795,0.5071071386
train,-0.2642666101,0.6271815300,0.7084173560
train,0.2323176861,-0.9846388102,5.1359744072
train,0.9441103935,-0.7994047403,2.2563071251
train,-0.3083717823,-0.9111540318,1.0060251951
train,0.4319729805,-0.2626593113,2.8469266891
train,0.8964600563,0.2679083347,1.4789750576
train,0.0966032743,0.0410391092,1.3505811691
train,-0.7055572271,0.5454428196,0.6058490276
train,-0.6635160446,0.5274641514,0.5528251529
train,0.9214887619,-0.4323110580,1.5388720036
train,0.0820201635,-0.7040334940,2.1180486679
train,0.0861493349,0.0684052706,1.3126307726
train,-0.8932199478,-0.9200201035,1.6773815155
train,0.6024872065,0.1801391840,2.6672899723
train,-0.8392635584,-0.7177264690,1.0318481922
train,-0.0109821558,-0.4686185122,1.2033492327
train,-0.1329375505,-0.8649477959,1.4085125923
train,-0.0662432909,0.9973436594,2.1991784573
train,-0.4149407148,-0.5551866293,0.5187796354
train,-0.7581346035,0.0466969013,0.5032708645
train,-0.9337643385,0.5548927784,1.1066296101
train,-0.3486654758,-0.4601298571,0.5079481602
train,0.6121474504,0.2745685577,2.7565007210
train,-0.4783490896,0.7297765017,0.6280635595
train,0.6696324348,0.6416974068,3.5719254017
train,0.0841902494,0.8868488073,2.8517112732
train,-0.7531319857,-0.3903774023,0.5782664418
train,-0.1662471294,-0.0809143782,0.6112122536
train,-0.0600306988,0.1762394905,0.8552036285
train,0.5497374535,0.3603014946,3.0576119423
train,-0.0036278963,0.7552636862,1.7489683628
train,-0.2211399078,-0.2646398544,0.5654434562
train,-0.0799150467,-0.7957110405,1.4692097902
train,-0.6766742468,-0.7330573797,0.7316105366
train,-0.2848086357,-0.6561107635,0.7049890161
train,-0.4529267550,0.4759147167,0.4664566517
train,0.8147597313,0.4770635366,2.1754662991
train,0.0613660812,-0.2182178497,1.2702506781
train,-0.0472091436,-0.6339808702,1.2893818617
train,0.5805289745,0.7761344910,4.8093085289
train,0.6394751072,0.7103143930,4.0962605476
train,-0.7577188015,0.3353300095,0.5614079237
train,-0.7083692551,-0.0656081438,0.4543078542
train,-0.4170145988,-0.8408310413,0.7716599703
train,0.9137928486,0.8945523500,2.9088358879
train,-0.8596308231,0.7999873161,1.2375719547
train,0.1501318216,0.9528743029,3.9052777290
train,-0.6659733057,0.5541920662,0.5712184310
train,-0.8375705481,0.2338634729,0.6480835080
train,-0.9916194677,-0.4280333519,1.1698638201
train,0.5302604437,-0.9752807617,7.0052313805
train,-0.4194366932,-0.6762175560,0.5999725461
train,-0.5505876541,0.4522304535,0.4570852220
train,-0.4381901026,-0.2481085062,0.3986592889
train,0.6699779034,0.4220753908,2.8261773586
train,-0.1815131903,-0.1318098307,0.5930594206
train,-0.0981431007,-0.7841576338,1.3653892279
train,0.0456556082,0.6977661848,1.8772681952
train,-0.1253699064,-0.7373688221,1.1734591722
train,0.5099956989,-0.2976119518,2.9685683250
train,0.7227038145,0.6820838451,3.4222881794
train,-0.6217595339,0.0938900709,0.3989528716
train,-0.6293687820,0.1971358061,0.4149165750
train,0.3183782101,0.9518806934,5.7411742210
train,0.6655207872,-0.8444311619,4.8592481613
train,-0.8476107121,-0.9864356518,1.6692756414
train,0.9572268724,-0.7017986774,1.8710374832
train,-0.0138317347,0.9130766392,2.2039890289
train,-0.7405083179,0.6949602365,0.7827790380
train,0.3239498138,0.5949014425,3.3361566067
train,-0.9699163437,-0.9649580717,2.3089070320
train,0.8177216053,-0.8716628551,3.6753659248
train,-0.9723587036,0.7076728344,1.5129665136
train,-0.9044144154,-0.8035837412,1.4189946651
train,-0.5437352657,0.2668501139,0.3987714946
train,0.5978627205,-0.3426445723,2.9168820381
train,-0.3828487396,0.0048267841,0.3933676779
train,-0.3562258482,0.2836313248,0.4407539666
train,0.8871500492,-0.9571027756,3.5367000103
train,0.8683800697,-0.9388905764,3.6086320877
train,0.8197885752,0.5057542324,2.2081935406
train,0.1294021606,-0.6074582338,2.1477675438
train,0.6908097267,-0.4143893719,2.7111327648
train,0.5412586927,-0.4548319578,3.3150856495
train,-0.4358601570,-0.7515321970,0.6603623629
train,-0.2381424904,0.5378922224,0.6764115691
train,0.7263954878,-0.9773957729,5.5447630882
train,0.1200128794,0.9477146864,3.5477917194
train,-0.6405254602,0.9261044264,0.9546089768
train,0.1032941341,0.9258434772,3.2414758205
train,-0.1993815899,-0.9900884628,1.4829936028
train,-0.8438113928,-0.7464177608,1.0897114277
train,0.1244874001,0.3270225525,1.6292811632
train,0.9709486961,0.1218246222,1.1118017435
